"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max";"humidity (sanpedro 005)";"std";"min";"max";"temperature (sanpedro 005)";"std";"min";"max"
"2013-04-15 08:14:04";"2013-04-15 08:14:06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:06";"2013-04-15 08:14:07";86.6;0;86.6;86.6;16;0;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:07";"2013-04-15 08:14:09";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:09";"2013-04-15 08:14:10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:10";"2013-04-15 08:14:12";86.5;0;86.5;86.5;16.1;0;16.1;16.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:12";"2013-04-15 08:14:13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:13";"2013-04-15 08:14:15";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:15";"2013-04-15 08:14:16";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:16";"2013-04-15 08:14:18";86.3;0;86.3;86.3;16.1;0;16.1;16.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:18";"2013-04-15 08:14:19";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:19";"2013-04-15 08:14:21";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:21";"2013-04-15 08:14:22";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:22";"2013-04-15 08:14:24";86;0;86;86;16.1;0;16.1;16.1;;;;;;;;;85;0;85;85;16;0;16;16;14.3;0;14.3;14.3;;;;;;;;
"2013-04-15 08:14:24";"2013-04-15 08:14:25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:25";"2013-04-15 08:14:27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:27";"2013-04-15 08:14:28";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:28";"2013-04-15 08:14:30";85.8;0;85.8;85.8;16.1;0;16.1;16.1;;;;;;;;;86;0;86;86;16;0;16;16;14.4;0;14.4;14.4;;;;;;;;
